Start,End,Event,Location,Attendees,Vul,Plan/Exec
0500,0530,Next Day DIM (Pre-Frag),AMPC,1-2-3-4-5-6-7,AM,P
0600,0630,Next Day MAM (Frag),AMPC,1-2-3-4-5-6,AM,P
0600,1400,Next Day Non-STO Vul Coord,MPC 1,13,AM,P
0600,0700,LFE Mass Brief,LT,8-9-4-7-6-10-11,AM,E
0615,0715,LFE OPFOR Brief,CCR,11,AM,E
0700,0700,2 Day Out Intel Product Drop,N/A,4-23,AM,P
0700,1500,SOF Shift Show,PAEI Tower,40,AM,P
0800,0845,MXG Standup,T-Dome,19,AM-PM,P
0800,0830,Next Day OPFOR Coord,CCR,20-10-21-22-23-24-12-3,AM,P
0830,0900,Next Day Post-LFE JECG Coord,CCR,6-23-26,AM,P
0830,0845,LFE FAA Recovery Discussion,CTS RM-191,27-28-29-30,AM,E
0900,0930,DF/CC Standup,CCR,9-31-19-32,AM-PM,P
0900,0945,Intel Coord Meeting,MPC 2,4-23-33,AM,P
1030,1045,Next Day Initial Product Review,AMPC,1-2-4-5-6,AM,P
1100,1130,Next Day DIM (Pre-Frag),ST,1-2-3-4-5-6-7,PM,P
1120,1150,JECG Sync Meeting,CCR,23-20-28-10-21-22,AM-PM,P
1200,1230,Next Day MAM (Frag),ST,1-2-3-4-5-6,PM,P
1200,2000,Next Day Non-STO Vul Coord,MPC 2,13,PM,P
1200,1300,LFE Mass Brief,LT,8-9-4-7-6-10-11,PM,E
1215,1315,LFE OPFOR Brief,CCR,11,PM,E
1300,1300,2 Day Out Intel Product Drop,N/A,4-23,PM,P
1300,1400,Next Day GCAM (Final Product Review),AMPC,9-1-2-3-4-5-6-10,AM,P
1300,1415,LFE OPFOR Pre-Pair/Pre-Mass,DDS 3,11,AM,E
1300,1345,LFE Blue Shot Pre-Pair,LT,34-35-36,AM,E
1315,1345,FAA Conference Call,CTS RM-191,28-10-29-30,AM-PM,E
1345,1400,Army Range Control Conf Call,CTS RM-191,39-37-38,AM-PM,P
1345,1415,LFE Blue Pre-Mass,LT,8-6,AM,E
1400,1430,Next Day OPFOR Coord,CCR,20-10-21-22-23-24-12-3,PM,P
1415,1545,LFE Mass Debrief,LT,8-9-4-6-10-11,AM,E
1430,1500,Next Day Post-LFE JECG Coord,CCR,6-23-26,PM,P
1500,1500,SOF Change-Over,PAEI Tower,40,AM-PM,P
1600,1645,Intel Coord Meeting,MPC 1,4-23-33,PM,P
1605,1615,LFE MiG-1/SAM-1 Data Presentation,LT,8-9-4-6-10-11,AM,E
1615,1645,LFE DFP Development,LT,9-8,AM,E
1615,1645,LFE JECG Debrief,AMPC,11-23-6-10,AM,E
1615,1645,LFE OPFOR Debrief,CCR,11,AM,E
1630,1645,Next Day Initial Product Review,ST,1-2-4-5-6,PM,P
1645,1700,LFE DFP Presentation,LT,8-9-4-6-10,AM,E
1845,2000,LFE OPFOR Pre-Pair/Pre-Mass,DDS 3,11,PM,E
1900,2000,Next Day GCAM (Final Product Review),ST,9-1-2-3-4-5-6-10,PM,P
1900,1945,LFE Blue Shot Pre-Pair,LT,34-35-36,PM,E
1945,2015,LFE Blue Pre-Mass,LT,8-6,PM,E
2015,2145,LFE Mass Debrief,LT,8-9-4-6-10-11,PM,E
2205,2215,LFE MiG-1/SAM-1 Data Presentation,LT,8-9-4-6-10-11,PM,E
2215,2245,LFE DFP Development,LT,9-8,PM,E
2215,2245,LFE OPFOR Debrief,AMPC,11,PM,E
2215,2245,LFE JECG Debrief,APO RM-123,11-23-6-10,PM,E
2245,2300,LFE DFP Presentation,LT,8-9-4-6-10,PM,E
